Time,kospi_price,lending,credit_long,credit_short,secured_loan,lending_gr,credit_long_gr,credit_short_gr,secured_loan_gr,kospi_price_gr
2009-06-12,1428.59,17415968380685,2984120000000,2983000000,3800541000000,-0.0135,-0.0070,0.2891,-0.0006,0.0065
2009-06-15,1412.42,16899271365150,2966244000000,4289000000,3769486000000,-0.0297,-0.0060,0.4378,-0.0082,-0.0113
2009-06-16,1399.15,16976248144910,2977451000000,3690000000,3807791000000,0.0046,0.0038,-0.1397,0.0102,-0.0094
2009-06-17,1391.17,17086185298910,2995478000000,4569000000,3826300000000,0.0065,0.0061,0.2382,0.0049,-0.0057
2009-06-18,1375.76,17069725376015,3019146000000,5167000000,3803752000000,-0.0010,0.0079,0.1309,-0.0059,-0.0111
2009-06-19,1383.34,17192756975435,3045398000000,6750000000,3823855000000,0.0072,0.0087,0.3064,0.0053,0.0055
2009-06-22,1399.71,17003485003935,3035863000000,8028000000,3812414000000,-0.0110,-0.0031,0.1893,-0.0030,0.0118
2009-06-23,1360.54,15998186068875,3040805000000,9941000000,3839679000000,-0.0591,0.0016,0.2383,0.0072,-0.0280
2009-06-24,1363.79,16032726180795,3037217000000,9953000000,3869796000000,0.0022,-0.0012,0.0012,0.0078,0.0024
2009-06-25,1392.73,16102139190475,2993349000000,9426000000,4168275000000,0.0043,-0.0144,-0.0529,0.0771,0.0212
2009-06-26,1394.53,15632315788695,3004019000000,9475000000,3880267000000,-0.0292,0.0036,0.0052,-0.0691,0.0013
2009-06-29,1388.45,15169836055080,2986517000000,10489000000,3854836000000,-0.0296,-0.0058,0.1070,-0.0066,-0.0044
2009-06-30,1390.07,15136397940780,2956740000000,11790000000,3866336000000,-0.0022,-0.0100,0.1240,0.0030,0.0012
2009-07-01,1411.66,15617362919905,2933441000000,12764000000,3872504000000,0.0318,-0.0079,0.0826,0.0016,0.0155
2009-07-02,1411.48,16046638603650,2889398000000,13716000000,3871068000000,0.0275,-0.0150,0.0746,-0.0004,-0.0001
2009-07-03,1420.04,16249955005590,2899707000000,14555000000,3852684000000,0.0127,0.0036,0.0612,-0.0047,0.0061
2009-07-06,1428.94,16549362948385,2908013000000,15633000000,3872000000000,0.0184,0.0029,0.0741,0.0050,0.0063
2009-07-07,1434.2,16547682464085,2895983000000,15086000000,3868976000000,-0.0001,-0.0041,-0.0350,-0.0008,0.0037
2009-07-08,1431.02,16647354211390,2891771000000,15240000000,3881171000000,0.0060,-0.0015,0.0102,0.0032,-0.0022
2009-07-09,1430.89,16767986151695,2922394000000,16716000000,3877985000000,0.0072,0.0106,0.0969,-0.0008,-0.0001
2009-07-10,1428.62,16676670941110,2941666000000,18642000000,3904806000000,-0.0054,0.0066,0.1152,0.0069,-0.0016
2009-07-13,1378.12,16357964589940,2963071000000,18765000000,3909630000000,-0.0191,0.0073,0.0066,0.0012,-0.0353
2009-07-14,1385.56,16698881481450,2938053000000,18394000000,3909869000000,0.0208,-0.0084,-0.0198,0.0001,0.0054
2009-07-15,1420.86,16811030229460,2855675000000,17299000000,3921914000000,0.0067,-0.0280,-0.0595,0.0031,0.0255
2009-07-16,1432.22,16800335770720,2859498000000,18586000000,4025815000000,-0.0006,0.0013,0.0744,0.0265,0.0080
2009-07-17,1440.1,16763613889765,2866271000000,20201000000,4010377000000,-0.0022,0.0024,0.0869,-0.0038,0.0055
2009-07-20,1478.51,17133784890755,2819479000000,21118000000,3916011000000,0.0221,-0.0163,0.0454,-0.0235,0.0267
2009-07-21,1488.99,17073048702250,2816554000000,20153000000,3898807000000,-0.0035,-0.0010,-0.0457,-0.0044,0.0071
2009-07-22,1494.04,16966875454555,2799582000000,18374000000,3892133000000,-0.0062,-0.0060,-0.0883,-0.0017,0.0034
2009-07-23,1496.49,16981867984615,2797832000000,19216000000,3906340000000,0.0009,-0.0006,0.0458,0.0037,0.0016
2009-07-24,1502.59,17135476762585,2820807000000,19125000000,3904947000000,0.0090,0.0082,-0.0047,-0.0004,0.0041
2009-07-27,1524.05,17517919656940,2816275000000,18148000000,3905777000000,0.0223,-0.0016,-0.0511,0.0002,0.0143
2009-07-28,1526.03,17396688153650,2776239000000,19331000000,3913387000000,-0.0069,-0.0142,0.0652,0.0019,0.0013
2009-07-29,1524.32,17322347491360,2792602000000,20955000000,3905228000000,-0.0043,0.0059,0.0840,-0.0021,-0.0011
2009-07-30,1534.74,17602102884460,2785711000000,21440000000,3893176000000,0.0161,-0.0025,0.0231,-0.0031,0.0068
2009-07-31,1557.29,17858454660875,2815911000000,22446000000,3904985000000,0.0146,0.0108,0.0469,0.0030,0.0147
2009-08-03,1564.98,17890055738680,2860759000000,21541000000,3907939000000,0.0018,0.0159,-0.0403,0.0008,0.0049
2009-08-04,1566.37,17816570763070,2850498000000,22577000000,3894396000000,-0.0041,-0.0036,0.0481,-0.0035,0.0009
2009-08-05,1559.47,17701840204275,2881063000000,22945000000,3930676000000,-0.0064,0.0107,0.0163,0.0093,-0.0044
2009-08-06,1565.04,17850993552295,2871622000000,25546000000,3903546000000,0.0084,-0.0033,0.1134,-0.0069,0.0036
2009-08-07,1576,17946048530155,2878179000000,25604000000,4017814000000,0.0053,0.0023,0.0023,0.0293,0.0070
